0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:12:56 +0900] "GET /dalboo/resources/images/mdlist.png HTTP/1.1" 200 5335
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:12:56 +0900] "GET /dalboo/resources/images/wishlist.png HTTP/1.1" 200 5097
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:12:58 +0900] "GET /dalboo/coffeeOrderView.me HTTP/1.1" 200 9935
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:00 +0900] "GET /dalboo/myPage.me HTTP/1.1" 200 10806
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:17 +0900] "GET /dalboo/nList.bo HTTP/1.1" 200 11154
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:17 +0900] "GET /dalboo/resources/css/board/newmenu_list.css HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:18 +0900] "GET /dalboo/nmdetail.bo?nNum=4&page=1 HTTP/1.1" 200 9288
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:18 +0900] "GET /dalboo/resources/images/votebox.png HTTP/1.1" 200 13527
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:18 +0900] "GET /dalboo/resources/nMUploadFiles/d1171f7f-9be6-4d12-a0c7-25de23a50c5e.jpg HTTP/1.1" 200 21556
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:19 +0900] "GET /dalboo/resources/css/board/newmenu_result.css HTTP/1.1" 200 3233
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:27 +0900] "GET /dalboo/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:27 +0900] "GET /dalboo/home.do HTTP/1.1" 200 16013
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:29 +0900] "GET /dalboo/ownerLoginPage.ow HTTP/1.1" 200 5239
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:29 +0900] "GET /dalboo/resources/css/common/ownerPagebase.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:13:29 +0900] "GET /dalboo/resources/css/owner/owner_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:15:54 +0900] "POST /dalboo/ownerLogin.ow HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:15:54 +0900] "GET /dalboo/ownerMain.ow HTTP/1.1" 200 9252
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:15:54 +0900] "GET /dalboo/resources/css/owner/owner_main.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:15:54 +0900] "GET /dalboo/resources/images/logouticon.png HTTP/1.1" 200 34507
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:08 +0900] "GET /dalboo/admin_inventory.ow HTTP/1.1" 200 33444
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:08 +0900] "GET /dalboo/resources/css/manager/admin_material_manage.css HTTP/1.1" 200 4378
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:13 +0900] "GET /dalboo/admin_delivery.ow HTTP/1.1" 200 21769
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:13 +0900] "GET /dalboo/resources/css/manager/admin_delivery_manage.css HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:27 +0900] "GET /dalboo/admin_delivery_status.ow HTTP/1.1" 200 18228
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:27 +0900] "GET /dalboo/resources/css/ownerPagebase.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:27 +0900] "GET /dalboo/resources/css/manager/admin_delivery_status.css HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:33 +0900] "GET /dalboo/logout.ow HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:33 +0900] "GET /dalboo/ownerLoginPage.ow HTTP/1.1" 200 5239
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:39 +0900] "POST /dalboo/ownerLogin.ow HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:39 +0900] "GET /dalboo/ownerMain.ow HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:50 +0900] "GET /dalboo/logout.ow HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:50 +0900] "GET /dalboo/ownerLoginPage.ow HTTP/1.1" 200 5239
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:55 +0900] "POST /dalboo/ownerLogin.ow HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:16:55 +0900] "GET /dalboo/ownerMain.ow HTTP/1.1" 200 10814
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:17:07 +0900] "GET /dalboo/logout.ow HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:17:07 +0900] "GET /dalboo/ownerLoginPage.ow HTTP/1.1" 200 5239
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:17:08 +0900] "GET /dalboo/defaultPage.ow HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:17:08 +0900] "GET /dalboo/home.do HTTP/1.1" 200 16013
