192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/images/logo.png HTTP/1.1" 200 14232
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/images/smartphone.png HTTP/1.1" 200 760
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/images/slideImage2.jpg HTTP/1.1" 200 65025
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/images/instargram.png HTTP/1.1" 200 19125
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/images/mainBeans.png HTTP/1.1" 200 12884
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/images/dalboofooter.png HTTP/1.1" 200 14232
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/images/slideImage3.jpg HTTP/1.1" 200 81300
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/images/slideImage.JPG HTTP/1.1" 200 93107
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/images/facebook.png HTTP/1.1" 200 14093
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/images/twitter.png HTTP/1.1" 200 16636
192.168.0.1 - - [14/Apr/2021:23:21:19 +0900] "GET /dalboo/resources/images/mainMdimg.jpg HTTP/1.1" 200 139531
192.168.0.1 - - [14/Apr/2021:23:21:19 +0900] "GET /dalboo/resources/images/mainCoffeeimg5.jpg HTTP/1.1" 200 83494
192.168.0.1 - - [14/Apr/2021:23:21:19 +0900] "GET /dalboo/resources/images/MainSlideImg1.jpg HTTP/1.1" 200 97628
192.168.0.1 - - [14/Apr/2021:23:21:19 +0900] "GET /dalboo/resources/images/MainSlideImg2.jpg HTTP/1.1" 200 136119
192.168.0.1 - - [14/Apr/2021:23:21:19 +0900] "GET /dalboo/resources/images/MainVoteResult.png HTTP/1.1" 200 215585
192.168.0.1 - - [14/Apr/2021:23:21:19 +0900] "GET /dalboo/resources/images/%EB%A9%94%EC%9D%B8%EC%B0%BD%EC%97%85%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 200 436231
192.168.0.1 - - [14/Apr/2021:23:21:19 +0900] "GET /dalboo/resources/images/MainSlideImg3.jpg HTTP/1.1" 200 556324
192.168.0.1 - - [14/Apr/2021:23:21:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
211.36.139.140 - - [14/Apr/2021:23:21:28 +0900] "GET /dalboo/ HTTP/1.1" 200 16013
